time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.5694,-0.2238,1.4546,1.578
0.022000,1.0633,-0.4967,1.5216,1.922
0.043000,0.7566,-0.1114,0.8353,1.133
0.062000,0.5762,0.0238,0.4566,0.736
0.083000,0.3958,-0.4194,0.1027,0.586
0.102000,-0.1956,-0.0720,0.1439,0.253
0.122000,0.1950,0.4503,-0.5680,0.751
0.143000,0.5926,-0.2592,-0.8052,1.033
0.162000,0.1927,0.0610,-0.6210,0.653
0.182000,-0.6091,0.4915,-1.1438,1.386
0.202000,-1.0660,0.6487,-0.8051,1.485
0.223000,-1.0654,0.6922,-0.0143,1.271
0.243000,-0.9189,0.4896,0.2288,1.066
0.263000,-0.8116,0.1049,0.1110,0.826
0.283000,-0.5405,0.0997,-0.4453,0.707
0.303000,-0.1670,0.1255,-0.0980,0.231
0.323000,-0.0388,-0.0586,0.5366,0.541
0.343000,0.0057,-0.2020,0.2309,0.307
0.368000,0.3205,-0.2544,-0.2288,0.469
0.383000,0.4143,-0.1384,0.1229,0.454
0.403000,0.0591,0.0493,0.7357,0.740
0.422000,-0.3022,0.2896,0.7504,0.859
0.443000,0.0495,0.1525,-0.2155,0.269
0.462000,0.3815,-0.0961,-0.5511,0.677
0.482000,0.2774,-0.1378,-0.0838,0.321
0.502000,-0.1732,0.0973,0.2169,0.294
0.523000,-0.0155,0.1368,0.2092,0.250
0.543000,0.2977,-0.1222,0.2878,0.432
0.563000,0.0504,0.1664,-0.1180,0.210
0.583000,-0.2296,0.4563,-0.5079,0.720
0.602000,-0.2772,0.1102,-0.0677,0.306
0.623000,-0.1147,-0.1122,0.5589,0.582
0.643000,0.0864,-0.0753,0.3725,0.390
0.663000,0.3214,0.0170,-0.3809,0.499
0.683000,-0.0984,0.0308,-0.1065,0.148
0.704000,-0.3011,-0.0640,0.6821,0.748
0.723000,0.1133,-0.0199,0.3523,0.371
0.743000,0.3186,0.0144,0.4244,0.531
0.764000,0.8179,-0.4885,0.8668,1.288
0.783000,0.7555,-0.5955,0.2931,1.006
0.804000,0.2274,0.0093,-0.3616,0.427
0.824000,0.2399,-0.1856,-0.3427,0.458
0.843000,0.6084,-0.6333,0.3097,0.931
0.863000,0.1138,-0.4072,0.9318,1.023
0.883000,-0.3695,-0.5886,1.6623,1.802
0.903000,-0.6947,-1.5493,1.8780,2.532
0.923000,-1.7343,-1.8411,0.8499,2.668
0.944000,-2.4648,-0.9063,1.1646,2.873
0.964000,-2.0776,1.3658,-0.7486,2.597
0.984000,0.0096,5.5272,-6.5200,8.548
1.003000,-0.4781,2.2711,0.3280,2.344
1.024000,-2.6098,-0.2268,1.8756,3.222
1.044000,-1.8441,1.0103,-1.4966,2.581
1.064000,1.4469,-0.4294,-5.9387,6.128
1.084000,3.1328,-0.5815,1.8287,3.674
1.104000,2.4758,1.0623,1.1649,2.935
1.124000,2.0299,0.0810,2.0463,2.884
1.143000,1.5836,-0.3304,2.4375,2.925
1.164000,-1.3423,0.8043,-0.5706,1.666
1.184000,2.3982,1.1441,-0.7804,2.769
1.204000,5.3003,0.0808,1.1692,5.428
1.224000,1.2541,-0.3206,-1.1256,1.715
1.244000,-2.8644,1.2383,-0.6705,3.192
1.266000,-4.0893,2.3160,0.6784,4.748
1.284000,-4.2813,0.0916,2.2593,4.842
1.304000,0.5374,-1.5942,1.7542,2.431
1.325000,0.9974,0.0847,-1.2275,1.584
1.345000,-0.8527,1.6268,-1.6827,2.491
1.365000,0.2498,0.1808,-0.0066,0.308
1.384000,0.0450,-0.9778,-0.9066,1.334
1.405000,-0.4712,-0.0185,-1.4227,1.499
1.425000,0.5296,0.1182,0.2739,0.608
1.445000,0.5804,0.4274,2.0786,2.200
1.465000,-1.0117,0.6549,0.8719,1.487
1.485000,-4.1156,0.2015,-3.3058,5.283
1.506000,-0.1716,-0.5664,-2.3353,2.409
1.526000,3.1908,-0.4242,-0.0280,3.219
1.545000,1.9408,-0.3625,-0.7565,2.114
1.565000,-0.7225,0.6113,-0.5506,1.095
1.585000,-1.9333,0.3402,0.8931,2.157
1.605000,-1.1085,0.1534,1.0625,1.543
1.625000,0.5653,0.1198,-0.0770,0.583
1.645000,2.6826,-0.5310,-0.0636,2.735
1.665000,1.1965,0.0329,0.1186,1.203
1.684000,0.5543,-0.1861,-1.8332,1.924
1.705000,2.6409,-2.0910,-3.1024,4.579
1.725000,1.7940,-0.4717,-1.8920,2.650
1.745000,0.1846,1.1020,0.6195,1.278
1.765000,-2.2088,1.0783,1.3778,2.818
1.786000,-3.9957,0.5858,0.8725,4.132
1.805000,-0.8826,-0.4754,0.3639,1.066
1.826000,2.9041,-0.9344,-0.2669,3.062
1.845000,0.9797,-0.4979,-2.0671,2.341
1.866000,-1.7968,-0.1285,-1.7743,2.529
1.886000,-1.8279,-0.3398,-0.0990,1.862
1.905000,-0.2473,-0.2595,-0.0249,0.359
1.925000,-0.5010,-0.3607,-0.7317,0.957
1.946000,-0.7316,-0.4620,-0.8461,1.210
1.965000,0.6202,0.1461,0.1329,0.651
1.986000,1.1280,0.5085,0.7257,1.434
2.006000,-0.7543,0.4496,-0.4125,0.970
2.025000,-1.1844,0.2576,0.2615,1.240
2.046000,-0.8065,-0.0284,0.1222,0.816
2.065000,-1.1679,0.5142,-0.6407,1.428
2.085000,-0.2290,0.7769,-0.2616,0.851
2.106000,2.2685,-0.1880,1.2480,2.596
2.125000,2.5426,-0.6821,0.0938,2.634
2.145000,0.0539,0.2832,-0.9978,1.039
2.165000,-1.2946,0.8840,-0.2986,1.596
2.185000,-0.6743,-0.0925,0.4704,0.827
2.205000,0.2607,-0.3261,-0.8288,0.928
2.226000,1.0394,-0.4323,-1.8509,2.166
2.245000,1.4580,-0.7182,-0.1109,1.629
2.267000,0.3067,0.1969,1.8366,1.872
2.286000,-1.3133,0.0549,0.9333,1.612
2.306000,-1.3526,0.3436,-1.9305,2.382
2.326000,-0.5983,0.8001,-2.7066,2.885
2.346000,-0.1073,0.5229,1.0449,1.173
2.367000,1.2711,0.1077,1.6937,2.120
2.387000,0.5538,-0.4515,-0.6114,0.940
2.407000,-0.2706,0.3422,-0.0032,0.436
2.427000,-0.3858,0.3247,1.1453,1.251
2.447000,-0.9398,0.1598,-1.0641,1.429
2.467000,-0.5737,0.0667,-1.8620,1.949
2.486000,0.6112,0.1614,0.2667,0.686
2.507000,1.7220,0.0374,1.5058,2.288
2.527000,0.8676,0.2477,1.6187,1.853
2.547000,-0.4325,0.2714,0.9439,1.073
2.568000,-0.7073,0.1293,-1.1474,1.354
2.587000,-0.0380,0.2450,-0.5681,0.620
2.607000,0.7126,0.4027,1.3507,1.579
2.629000,0.7579,0.4068,1.1941,1.472
2.647000,0.1756,0.2633,0.5139,0.604
2.669000,-0.3606,0.2437,-0.9361,1.032
2.687000,-0.3251,0.0871,-1.5044,1.542
2.707000,0.7645,0.1900,0.0018,0.788
2.728000,1.7522,0.5112,2.6627,3.228
2.747000,0.8111,0.4681,2.4274,2.602
2.766000,-0.2632,0.3645,0.1155,0.464
2.787000,-0.3847,0.9754,-0.4815,1.154
2.807000,-0.1892,1.9372,2.2314,2.961
2.827000,0.7774,2.4906,5.8413,6.398
2.847000,0.1269,3.4851,7.9596,8.690
2.866000,1.1894,3.7619,5.8408,7.048
2.887000,1.6283,4.8025,3.0448,5.915
2.907000,3.0808,4.3191,-0.2949,5.313
2.926000,4.1359,5.2111,-1.2871,6.776
2.946000,5.6971,6.9596,-2.0559,9.226
2.967000,4.6140,7.3748,-1.3180,8.798
2.987000,4.4496,2.9333,-1.1662,5.456
3.007000,0.8762,1.5148,-4.2785,4.623
3.027000,-1.3897,1.5034,-5.4232,5.797
3.047000,-0.3214,-0.5910,-3.0352,3.109
3.069000,3.1754,-3.2722,-1.8379,4.916
3.087000,0.4033,0.0151,-3.4095,3.433
3.108000,-3.3178,3.3201,-4.7493,6.677
3.128000,-1.0405,-0.1579,-6.3086,6.396
3.147000,2.5901,-3.4276,-13.7449,14.401
3.168000,-2.2943,-0.5447,-5.8852,6.340
3.187000,-4.1197,2.1524,0.9136,4.737
3.207000,-1.3556,1.5641,1.9210,2.824
3.228000,1.7352,-0.8447,1.3970,2.382
3.247000,3.8620,0.1169,0.4508,3.890
3.267000,5.1831,-1.3772,-0.1953,5.367
3.289000,3.3735,-2.6266,-1.6507,4.583
3.308000,1.1549,-2.3024,-3.6495,4.467
3.333000,-2.2098,-1.0933,-5.0861,5.652
3.347000,-2.6583,-1.8645,-5.9830,6.807
3.367000,-3.4532,-0.7992,-2.3063,4.229
3.388000,-7.5362,1.5466,-0.1433,7.695
3.408000,-8.3931,3.7793,-0.6971,9.231
3.428000,-4.9549,4.5693,6.6827,9.491
3.448000,-2.1609,4.1244,14.0334,14.786
3.468000,6.3949,1.9711,-0.9910,6.765
3.488000,12.9201,-3.3765,-9.4601,16.365
3.508000,1.1690,-1.0197,-0.0917,1.554
3.528000,0.5461,1.2237,-2.7229,3.035
3.548000,1.5452,0.0616,-0.0845,1.549
3.568000,-0.4431,-0.0196,0.1681,0.474
3.588000,-2.1116,-0.1540,-0.4972,2.175
3.608000,-0.3956,0.2274,0.8603,0.974
3.628000,1.3481,0.6551,1.2092,1.926
3.648000,0.6273,0.2578,-0.7929,1.043
3.667000,-0.1808,-0.7961,-1.6461,1.837
3.687000,-2.2704,0.5418,-0.2602,2.349
3.708000,0.5769,-0.0008,-0.4006,0.702
3.727000,1.9632,-1.4496,-1.1807,2.711
3.748000,1.9350,-0.8442,-0.8388,2.272
3.767000,-0.4407,1.7111,2.4194,2.996
3.787000,2.3541,0.6219,1.7840,3.018
3.807000,7.5424,-2.5093,2.2453,8.260
3.828000,-0.9861,1.0462,7.0762,7.221
3.849000,-9.5328,3.6271,-3.7031,10.851
3.871000,-7.6014,0.3486,-4.3966,8.788
3.888000,-4.7435,0.0513,-4.2476,6.368
3.909000,-3.5242,1.0729,-5.1508,6.333
3.929000,-3.8319,1.9988,0.9441,4.424
3.949000,4.5845,1.4826,3.0424,5.698
3.969000,2.0888,1.2148,1.6072,2.902
3.990000,2.9484,0.1227,-1.1547,3.169
4.009000,3.0124,0.0924,0.7148,3.097
4.030000,-2.4000,1.1171,0.2600,2.660
4.049000,-4.5346,1.1262,-1.5268,4.916
4.070000,-1.5016,1.1687,-0.7049,2.029
4.090000,1.8284,1.1912,1.5719,2.689
4.109000,0.6682,0.8566,0.6420,1.262
4.136000,-0.3037,-0.1942,-0.9269,0.995
4.149000,0.8932,-2.1688,-0.1572,2.351
4.170000,0.0721,-0.7410,0.1434,0.758
4.189000,1.5848,0.0388,0.4142,1.639
4.210000,4.2971,-2.1897,0.1173,4.824
4.231000,1.9858,-2.1626,-0.2646,2.948
4.248000,0.1300,-2.2235,-0.8113,2.370
4.270000,3.9918,-0.1085,-0.4288,4.016
4.290000,3.4083,0.5672,1.5407,3.783
4.310000,2.2394,-1.2313,0.7585,2.666
4.330000,3.2798,-1.8044,-0.6432,3.798
4.349000,3.5252,-0.3148,0.6614,3.600
4.369000,1.3093,1.1175,0.4912,1.790
4.390000,2.3314,-0.2709,-1.4440,2.756
4.410000,0.7069,1.1622,-0.4247,1.425
4.430000,-2.6556,2.9463,0.7651,4.040
4.450000,-2.9394,2.7524,1.9880,4.491
4.470000,-3.9360,2.9010,0.8107,4.956
4.490000,-6.3598,3.4716,0.8393,7.294
4.509000,-1.1139,1.3647,-0.3506,1.796
4.530000,-1.2161,1.9649,-0.9123,2.484
4.550000,-1.2089,1.7533,0.0703,2.131
4.570000,-0.9249,0.9064,1.6098,2.066
4.590000,-0.7252,0.1722,1.6376,1.799
4.611000,1.1018,-1.8248,-1.1904,2.441
4.630000,0.4701,-2.8523,-0.4447,2.925
4.649000,0.6451,-2.0698,-1.7680,2.798
4.669000,0.0154,-0.6193,-0.1548,0.639
4.690000,-0.8071,0.0252,0.6285,1.023
4.710000,-0.7775,1.4868,0.3977,1.724
4.730000,1.5872,4.3037,-0.0357,4.587
4.750000,2.0543,1.4786,-0.2555,2.544
4.770000,-0.4568,-3.4961,-1.4046,3.795
4.790000,-1.7510,-2.4646,-1.0363,3.196
4.811000,0.5515,-1.0693,-0.7722,1.430
4.830000,1.8871,-3.6940,1.1364,4.301
4.851000,0.4084,-2.0998,1.4837,2.603
4.870000,-0.7719,1.2002,0.1619,1.436
4.891000,-1.3428,0.1070,-0.8970,1.618
4.911000,0.6857,-2.1999,-0.7074,2.410
4.931000,1.6663,0.2958,0.8198,1.880
4.951000,-2.3946,2.6241,2.2514,4.206
4.970000,0.3416,1.1258,-0.7204,1.380
4.991000,-0.7059,1.7389,-0.3280,1.905
5.011000,-1.4242,0.7815,-1.4743,2.194
5.031000,-1.7357,0.3074,-0.2622,1.782
5.050000,-0.1569,1.1783,1.5153,1.926
5.071000,0.8530,0.5348,-0.2795,1.045
5.092000,-1.4229,1.6414,-2.0579,2.992
5.110000,-3.0179,2.9386,-0.2765,4.221
5.132000,2.3433,-0.4645,6.2413,6.683
5.151000,0.3239,-1.3444,5.0740,5.259
5.170000,0.0746,3.3419,-5.2144,6.194
5.192000,1.9948,2.0537,-1.6849,3.322
5.212000,0.5532,-0.3125,1.9642,2.064
5.231000,0.6771,-0.8788,0.7907,1.362
5.252000,0.6800,0.7327,-0.5755,1.153
5.271000,-0.6345,0.2874,-0.0287,0.697
5.292000,-1.7386,-0.1207,1.3118,2.181
5.311000,0.4235,0.0841,3.7136,3.739
5.331000,0.8086,-0.1783,2.6564,2.782
5.351000,-2.4777,-1.2033,-2.1952,3.522
5.372000,-1.7799,-0.2826,-4.4476,4.799
5.392000,0.5879,1.0928,-4.1913,4.371
5.412000,0.2205,0.1653,0.5981,0.659
5.432000,0.1579,-1.9060,9.4543,9.646
5.452000,0.0447,-0.1801,-2.7478,2.754
5.472000,2.2473,0.5194,-9.5211,9.797
5.492000,0.4280,0.1268,0.5760,0.729
5.512000,-0.9097,0.4602,1.0606,1.471
5.532000,-0.0846,1.0530,-0.6737,1.253
5.552000,0.9216,0.6830,-0.3668,1.204
5.571000,0.8073,0.3231,-0.2157,0.896
5.593000,0.2004,0.3530,-0.0609,0.410
5.611000,-0.3077,0.1487,-0.0873,0.353
5.633000,-0.6926,-0.0007,-0.0616,0.695
5.652000,-0.7049,0.2808,-0.0270,0.759
5.671000,-0.5446,0.8400,0.0991,1.006
5.691000,-0.4316,0.6677,-0.0178,0.795
5.711000,-0.0669,0.1433,0.1158,0.196
5.732000,0.0983,0.0106,-0.4529,0.464
5.752000,-0.3627,0.2064,-0.2158,0.470
5.772000,-0.4351,0.1933,0.5469,0.725
5.791000,0.4461,-0.4673,-0.0532,0.648
5.812000,-0.0337,-0.1706,-0.2501,0.305
5.831000,-0.2050,0.3561,0.3483,0.539
5.852000,0.2308,0.0710,0.3259,0.406
5.873000,0.1040,-0.3825,0.0014,0.396
5.892000,0.3525,-0.7772,-0.3134,0.909
5.913000,0.3600,-0.4552,-0.1882,0.610
5.932000,0.2607,0.0294,-0.2073,0.334
5.952000,0.0732,0.4054,-0.1862,0.452
5.972000,-0.2047,0.2022,-0.0163,0.288
5.992000,-0.4127,0.1070,-0.0067,0.426
6.012000,-0.5831,0.2476,-0.0425,0.635
6.033000,-0.5232,0.3020,-0.0588,0.607
6.053000,-0.0746,-0.2636,-0.1324,0.304
6.073000,0.1376,0.3688,-0.2989,0.494
6.093000,0.3202,0.5622,-0.3245,0.724
6.112000,0.2299,0.0528,0.0139,0.236
6.132000,-0.2630,-0.2839,-0.0563,0.391
6.152000,-0.6962,0.1643,-0.0477,0.717
6.172000,-0.2950,0.2624,-0.2082,0.446
6.192000,0.5776,-0.0696,-0.0769,0.587
6.213000,0.1434,0.0462,0.0048,0.151
6.232000,-0.0913,-0.3493,-0.0371,0.363
6.253000,-0.3000,-0.6398,0.1758,0.728
6.274000,-0.4147,-0.4117,0.1884,0.614
6.293000,-0.4835,-0.2238,0.0671,0.537
6.313000,-0.3776,-0.0969,-0.0217,0.390
6.333000,-0.3405,0.3103,-0.1248,0.477
6.353000,-0.2304,0.8569,-0.1474,0.899
6.373000,0.3193,1.2169,0.0077,1.258
6.393000,-0.1082,0.7459,0.0965,0.760
6.413000,-0.1507,0.4268,-0.0970,0.463
6.433000,0.6041,0.5850,-0.0817,0.845
6.453000,-0.0179,0.0196,0.0348,0.044
6.473000,0.0054,-0.5140,0.1549,0.537
6.494000,0.1910,-0.9976,0.5031,1.133
6.513000,0.1246,-0.8592,0.6413,1.079
6.533000,0.1398,-0.6292,0.2098,0.678
6.553000,0.0572,-0.4254,-0.2907,0.518
6.573000,0.0241,-0.2233,-0.2066,0.305
6.594000,0.1726,-0.0509,0.3391,0.384
6.613000,0.3622,0.5714,-0.0780,0.681
6.633000,0.3296,1.4807,0.0773,1.519
6.654000,0.0321,0.8133,0.0587,0.816
6.673000,-0.1731,-0.2011,0.1970,0.330
6.692000,-0.0944,-0.0210,0.2055,0.227
6.717000,-0.6864,0.4009,0.2839,0.844
6.733000,0.0374,0.2890,-0.0943,0.306
6.754000,1.8910,0.3184,-0.3001,1.941
6.773000,0.3539,0.8889,0.1186,0.964
6.793000,-1.8931,-0.0262,0.2876,1.915
6.813000,-0.4247,-0.9138,0.3655,1.072
6.833000,1.1581,-0.1629,0.1362,1.177
6.855000,0.0510,0.2934,0.1479,0.332
6.873000,0.0648,0.5317,-0.3387,0.634
6.893000,-0.6123,0.4636,-0.0422,0.769
6.913000,-2.3728,0.4750,-0.3232,2.441
6.933000,1.0936,0.0488,-0.6409,1.268
6.954000,1.6849,-0.2278,-0.1766,1.709
6.974000,-0.7060,-0.4815,-0.0586,0.857
6.993000,0.1387,0.4598,0.2818,0.557
7.013000,0.6577,1.4338,-0.3817,1.623
7.033000,-2.0649,1.5985,-0.2099,2.620
7.055000,-0.5808,0.7381,-0.6043,1.117
7.073000,1.2310,0.8518,-0.6564,1.635
7.093000,-2.1349,-0.1464,-0.0314,2.140
7.113000,-0.0988,-0.4247,0.0493,0.439
7.135000,0.5798,-0.0032,-0.6352,0.860
7.154000,-0.5541,-0.4770,-0.4259,0.846
7.174000,-0.2923,-2.0878,0.5181,2.171
7.195000,0.3533,-1.5006,0.8080,1.741
7.214000,-0.2019,-1.2834,-0.1082,1.304
7.235000,-1.0046,-0.6000,-0.3536,1.222
7.254000,-0.4852,1.1281,-0.2201,1.248
7.275000,0.4002,1.9011,0.1024,1.945
7.297000,0.3700,1.1853,-0.2488,1.266
7.314000,0.4716,0.5864,-0.0229,0.753
7.335000,0.8598,0.7960,0.0994,1.176
7.355000,1.6715,0.5420,-0.3725,1.796
7.373000,0.0293,0.7046,-0.0849,0.710
7.393000,-1.4352,0.4754,0.0334,1.512
7.413000,-0.9788,0.6347,-0.0734,1.169
7.433000,0.1001,0.2865,0.0931,0.317
7.453000,1.3131,-1.7282,0.0986,2.173
7.473000,0.2787,-0.7861,-0.1284,0.844
7.494000,-0.2911,0.1129,-0.0711,0.320
7.513000,0.2173,-0.0853,0.1564,0.281
7.533000,0.1025,-0.0914,-0.0453,0.145
7.554000,-0.2186,0.1628,-0.1790,0.326
7.574000,-0.4144,0.0079,-0.2088,0.464
7.594000,0.0458,-0.2381,-0.1497,0.285
7.613000,0.3209,0.0458,-0.0043,0.324
7.635000,0.1798,0.3679,-0.1400,0.433
7.655000,0.1987,0.0456,-0.1952,0.282
7.674000,-0.0534,0.0124,-0.0263,0.061
7.694000,0.1537,-0.0924,0.0375,0.183
7.714000,-0.2095,-0.0369,0.0613,0.221
7.734000,-0.0564,0.3626,-0.1806,0.409
7.755000,0.8827,-0.2184,-0.0223,0.910
7.775000,-1.2176,-0.1764,0.3387,1.276
7.794000,-0.2734,-0.2786,-0.3456,0.521
7.815000,2.1943,0.4181,0.0780,2.235
7.835000,-0.9796,2.1391,0.4460,2.395
7.855000,-1.6059,1.5108,0.5756,2.279
7.875000,0.3312,-2.7034,-1.2229,2.986
7.896000,-1.2667,-0.3018,-0.6138,1.440
7.914000,-0.4331,1.5654,-0.1725,1.633
7.934000,-2.1507,2.1835,-0.9412,3.206
7.955000,-0.0931,-1.5732,-1.7446,2.351
7.975000,0.7453,0.5429,-0.7382,1.181
7.995000,-0.6754,2.6333,0.6093,2.786
8.014000,-0.5543,1.4883,2.7190,3.149
8.036000,0.6217,0.6082,0.6513,1.087
8.056000,1.2895,0.4232,-2.8214,3.131
8.075000,-0.1119,0.3535,-2.4576,2.485
8.096000,-1.7405,1.4348,-0.2861,2.274
8.115000,-0.2737,0.7768,4.4086,4.485
8.135000,-0.1292,-1.2993,1.4481,1.950
8.155000,0.3165,-1.0144,-1.7947,2.086
8.175000,2.1226,-0.0131,2.4430,3.236
8.195000,0.8655,-1.7061,-0.6716,2.028
8.217000,-2.4944,-0.3500,-6.7218,7.178
8.235000,0.0442,-1.8551,-6.5957,6.852
8.254000,3.6853,-0.4582,-2.3152,4.376
8.276000,5.6239,-0.2536,4.6959,7.331
8.295000,4.2000,-0.2504,6.0406,7.361
8.315000,-0.5651,0.3902,2.8353,2.917
8.335000,-0.1202,-1.2234,5.4984,5.634
8.355000,-0.5576,0.0206,6.5501,6.574
8.375000,-2.4856,0.4981,2.8650,3.825
8.395000,0.2100,1.0049,-2.4607,2.666
8.415000,0.1821,2.4094,-6.6563,7.081
8.435000,1.2794,-0.1344,-2.0353,2.408
8.455000,0.7299,0.5884,3.7222,3.838
8.476000,1.3633,0.1136,3.0982,3.387
8.496000,-1.5402,-0.1767,1.7033,2.303
8.520000,-0.5944,0.0181,1.6693,1.772
8.536000,3.7409,-0.0661,-2.7345,4.634
8.556000,2.7622,-0.4128,-5.0796,5.797
8.576000,-3.9462,0.2600,-3.3809,5.203
8.596000,-4.0611,1.8106,-1.1078,4.582
8.616000,1.5418,0.2546,-1.2917,2.027
8.636000,1.5047,-0.7344,-0.3249,1.706
8.655000,-0.6181,0.3919,1.2758,1.471
8.675000,-1.3390,1.1771,0.9747,2.032
8.696000,0.4364,0.3145,-1.0575,1.186
8.716000,0.7507,0.0191,-0.6447,0.990
8.735000,-0.4356,0.4921,1.0102,1.205
8.759000,-1.2168,-0.0787,0.8774,1.502
8.776000,-0.2409,-0.5306,0.4906,0.762
8.797000,0.7627,-0.3351,0.1848,0.853
8.816000,0.4171,-0.5123,-0.2536,0.708
8.836000,-0.7236,1.4078,-0.7653,1.758
8.856000,-0.0836,1.2559,-0.0366,1.259
8.876000,0.8964,0.0624,0.4056,0.986
8.897000,0.9219,-0.4445,0.0569,1.025
8.917000,-0.4171,-0.9774,-1.0914,1.523
8.935000,-1.1311,0.0031,-0.1723,1.144
8.956000,-0.2009,0.0592,1.1536,1.172
8.976000,-0.5870,-0.0285,0.3303,0.674
8.997000,-0.2247,0.1675,-0.5418,0.610
9.017000,-0.4368,0.4611,0.3173,0.710
9.037000,0.5698,0.0586,1.5783,1.679
9.057000,1.0566,-0.3263,1.9854,2.273
9.077000,0.0845,-1.0352,-0.7256,1.267
9.097000,-0.5115,0.8341,-2.1783,2.388
9.117000,0.3204,0.9229,-0.2154,1.000
9.138000,-0.2150,-0.0889,0.8802,0.910
9.157000,-0.7909,0.2536,-0.5583,1.001
9.177000,0.0582,0.0378,-0.1818,0.195
9.197000,-0.3219,0.3011,0.5545,0.708
9.218000,0.2871,0.4533,-0.0636,0.540
9.239000,0.0840,-0.4294,-0.1311,0.457
9.257000,-0.6580,-0.1564,-0.4022,0.787
9.277000,0.4039,-0.1782,-0.3745,0.579
9.298000,0.6710,-1.5353,-0.6547,1.799
9.318000,0.1659,0.7770,0.5666,0.976
9.337000,-0.5125,1.2486,1.9308,2.356
9.357000,-0.1267,0.4963,0.0151,0.512
9.377000,0.0589,-0.1747,-1.0373,1.054
9.398000,-0.4366,-0.1152,-0.3587,0.577
9.418000,0.0351,-0.4049,-0.4192,0.584
9.439000,0.3445,-0.4171,-0.1556,0.563
9.457000,0.0978,0.4393,-0.0260,0.451
9.479000,0.4672,-0.0452,-1.0718,1.170
9.497000,1.1044,-0.3472,-0.8776,1.453
9.518000,0.5647,-0.1613,1.3243,1.449
9.538000,-0.1066,0.1895,1.7542,1.768
9.557000,0.2113,0.1153,-0.4771,0.534
9.578000,0.6590,-0.2542,-0.6120,0.935
9.599000,-1.4911,0.5280,1.4028,2.114
9.618000,-3.2198,8.0047,4.0639,9.537
9.638000,3.0675,-0.4126,-0.5640,3.146
9.657000,0.1104,-3.2219,-3.3888,4.677
9.678000,-1.0782,-1.7492,0.5107,2.117
9.698000,-0.5749,-1.0540,-0.3746,1.258
9.718000,-1.0546,1.5052,1.7629,2.547
9.739000,0.6348,0.7609,1.3753,1.695
9.757000,1.4251,0.9702,-0.6268,1.834
9.778000,-0.1132,0.9439,-1.0781,1.437
9.798000,-0.4017,-0.4334,-0.4292,0.730
9.818000,0.6805,-1.1631,1.5376,2.045
9.837000,-0.2007,-1.2521,1.6805,2.105
9.858000,-0.7804,-1.1321,-0.1136,1.380
9.878000,0.6171,-1.9198,-1.9832,2.828
9.898000,-0.6178,-0.4104,-1.8803,2.021
9.919000,-1.4004,0.2132,0.2447,1.438
9.938000,-0.3263,-0.5308,0.3894,0.735
9.959000,0.6433,1.2118,-1.4752,2.015
9.979000,0.9538,0.5172,-0.8223,1.361
9.998000,0.2095,1.2637,-0.5832,1.407
10.017000,-0.0003,0.5462,-0.6565,0.854
10.038000,0.1198,0.1320,-0.0065,0.178
10.059000,0.4176,0.7167,-0.4547,0.946
10.078000,-1.6147,-0.4151,2.7849,3.246
10.100000,-0.3369,0.3707,-0.9791,1.100
10.118000,1.0803,0.3899,-1.7766,2.116
10.138000,-0.1661,-0.0021,0.4170,0.449
10.159000,-0.1764,-0.2269,0.4952,0.573
10.180000,0.2882,-0.9521,0.2337,1.022
10.198000,-0.5674,-0.5351,0.6456,1.012
10.218000,-1.1044,2.1095,0.6673,2.473
10.239000,0.3136,1.3294,-0.6020,1.493
10.260000,0.2682,0.1153,0.0150,0.292
10.279000,0.2428,-0.2935,0.0487,0.384
10.299000,0.0327,0.1183,0.0604,0.137
10.318000,-0.3433,-0.0236,-0.2973,0.455
10.339000,-0.3157,-0.0903,0.1693,0.369
10.359000,-0.1030,0.3899,0.2340,0.466
10.379000,0.0593,0.9897,-0.2453,1.021
10.399000,0.2042,0.4779,-0.0719,0.525
10.419000,-0.6312,-0.1476,0.1139,0.658
10.439000,-0.1154,-0.5160,0.1681,0.555
10.459000,0.4776,-0.2460,-0.0437,0.539
10.479000,0.1012,0.0587,0.0314,0.121
10.499000,-0.4023,0.2106,0.0808,0.461
10.519000,-0.0269,0.1308,-0.0364,0.138
10.540000,0.1026,-0.0894,-0.0573,0.148
10.559000,-0.1974,0.1279,0.1437,0.276
10.579000,-0.0641,0.3742,0.1318,0.402
10.599000,-0.1839,0.5487,-0.0126,0.579
10.619000,0.0002,-0.3908,0.0996,0.403
10.640000,-0.3608,-0.4161,0.0537,0.553
10.659000,0.0097,0.4717,-0.2976,0.558
10.679000,0.8622,0.5161,-0.4004,1.082
10.702000,0.9106,0.1470,-0.7591,1.195
10.719000,-1.0530,0.1705,0.6256,1.237
10.739000,-1.5574,1.0643,-0.5489,1.965
10.759000,-0.5819,0.3620,0.7604,1.024
10.779000,0.2441,0.2414,1.1036,1.156
10.802000,1.2272,-0.2071,-0.8816,1.525
10.819000,0.3683,-0.8546,-0.6038,1.109
10.840000,-2.0452,-0.8126,0.7839,2.336
10.860000,-0.3527,-0.4597,-0.6881,0.900
10.879000,0.4612,-0.6017,0.1885,0.781
10.900000,-0.4493,-0.0716,0.3233,0.558
10.919000,-0.3407,1.2174,-0.8528,1.525
10.940000,1.5922,0.5143,0.0197,1.673
10.959000,0.7240,0.3018,1.4643,1.661
